County,Number,Year
POLK,7195,2013
PULASKI,2138,2020
PULASKI,2215,2017
PULASKI,1987,2015
PULASKI,2259,2013
PUTNAM,3727,2020
PUTNAM,3654,2017
PUTNAM,3378,2015
PUTNAM,3890,2013
QUITMAN,314,2020
QUITMAN,424,2017
QUITMAN,380,2015
QUITMAN,417,2013
RABUN,2955,2020
RABUN,3128,2017
RABUN,2805,2015
RABUN,3268,2013
RANDOLPH,1093,2020
RANDOLPH,1248,2017
RANDOLPH,1150,2015
RANDOLPH,1247,2013
RICHMOND,57425,2020
RICHMOND,50602,2017
RICHMOND,41978,2015
RICHMOND,47231,2013
ROCKDALE,23000,2020
ROCKDALE,20285,2017
ROCKDALE,14808,2015
ROCKDALE,18391,2013
SCHLEY,688,2020
SCHLEY,815,2017
SCHLEY,752,2015
SCHLEY,749,2013
SCREVEN,2892,2020
SCREVEN,2832,2017
SCREVEN,2363,2015
SCREVEN,2852,2013
SEMINOLE,1231,2020
SEMINOLE,1376,2017
SEMINOLE,1310,2015
SEMINOLE,1420,2013
SPALDING,15723,2020
SPALDING,15336,2017
SPALDING,10643,2015
SPALDING,10329,2013
STEPHENS,3640,2020
STEPHENS,5382,2017
STEPHENS,4231,2015
STEPHENS,4013,2013
STEWART,956,2020
STEWART,1032,2017
STEWART,1012,2015
STEWART,992,2013
SUMTER,5670,2020
SUMTER,5379,2017
SUMTER,4980,2015
SUMTER,5967,2013
TALBOT,949,2020
TALBOT,1137,2017
TALBOT,1228,2015
TALBOT,1239,2013
TALIAFERRO,212,2020
TALIAFERRO,276,2017
TALIAFERRO,280,2015
TALIAFERRO,308,2013
TATTNALL,4355,2020
TATTNALL,5114,2017
TATTNALL,4819,2015
TATTNALL,4506,2013
TAYLOR,1277,2020
TAYLOR,1431,2017
TAYLOR,1311,2015
TAYLOR,1396,2013
TELFAIR,4345,2020
TELFAIR,2778,2017
TELFAIR,2681,2015
TELFAIR,3327,2013
TERRELL,1115,2020
TERRELL,1467,2017
TERRELL,1429,2015
TERRELL,1560,2013
THOMAS,8113,2020
THOMAS,8665,2017
THOMAS,7656,2015
THOMAS,9189,2013
TIFT,9736,2020
TIFT,7746,2017
TIFT,6662,2015
TIFT,7927,2013
TOOMBS,6194,2020
TOOMBS,4733,2017
TOOMBS,4481,2015
TOOMBS,4909,2013
TOWNS,2038,2020
TOWNS,2005,2017
TOWNS,1735,2015
TOWNS,1777,2013
TREUTLEN,1148,2020
TREUTLEN,1056,2017
TREUTLEN,1107,2015
TREUTLEN,1115,2013
TROUP,19085,2020
TROUP,14594,2017
TROUP,11315,2015
TROUP,11342,2013
TURNER,1191,2020
TURNER,1346,2017
TURNER,1251,2015
TURNER,1412,2013
TWIGGS,1084,2020
TWIGGS,1409,2017
TWIGGS,1497,2015
TWIGGS,1494,2013
UNION,4644,2020
UNION,4212,2017
UNION,3914,2015
UNION,4005,2013
UPSON,5118,2020
UPSON,4216,2017
UPSON,4390,2015
UPSON,4570,2013
WALKER,14114,2020
WALKER,14195,2017
WALKER,12866,2015
WALKER,13999,2013
WALTON,23752,2020
WALTON,18602,2017
WALTON,15101,2015
WALTON,16808,2013
WARE,7294,2020
WARE,6991,2017
WARE,5913,2015
WARE,7059,2013
WARREN,849,2020
WARREN,849,2017
WARREN,905,2015
WARREN,991,2013
WASHINGTON,3038,2020
WASHINGTON,3853,2017
WASHINGTON,3660,2015
WASHINGTON,3655,2013
WAYNE,5023,2020
WAYNE,6228,2017
WAYNE,5159,2015
WAYNE,5346,2013
WEBSTER,362,2020
WEBSTER,440,2017
WEBSTER,436,2015
WEBSTER,460,2013
WHEELER,1288,2020
WHEELER,1459,2017
WHEELER,1348,2015
WHEELER,1583,2013
WHITE,5310,2020
WHITE,5365,2017
WHITE,4690,2015
WHITE,4581,2013
WHITFIELD,26822,2020
WHITFIELD,21705,2017
WHITFIELD,18702,2015
WHITFIELD,18965,2013
WILCOX,1435,2020
WILCOX,1620,2017
WILCOX,1435,2015
WILCOX,1637,2013
WILKES,1544,2020
WILKES,1538,2017
WILKES,1553,2015
WILKES,1677,2013
WILKINSON,1267,2020
WILKINSON,1409,2017
WILKINSON,1420,2015
WILKINSON,1580,2013
WORTH,3589,2020
WORTH,3648,2017
WORTH,3506,2015
WORTH,4085,2013
