County,Number,Year
MONTGOMERY,1086,2020
MORGAN,2824,2013
MORGAN,2208,2015
MORGAN,2315,2017
MORGAN,3252,2020
MURRAY,8056,2013
MURRAY,6982,2015
MURRAY,5094,2017
MURRAY,7710,2020
MUSCOGEE,39444,2013
MUSCOGEE,36186,2015
MUSCOGEE,40188,2017
MUSCOGEE,37542,2020
NEWTON,19208,2013
NEWTON,16143,2015
NEWTON,19330,2017
NEWTON,20945,2020
OCONEE,4410,2013
OCONEE,4562,2015
OCONEE,4525,2017
OCONEE,5193,2020
OGLETHORPE,2356,2013
OGLETHORPE,2179,2015
OGLETHORPE,1990,2017
OGLETHORPE,2244,2020
PAULDING,24813,2013
PAULDING,20674,2015
PAULDING,24830,2017
PAULDING,26824,2020
PEACH,5009,2013
PEACH,3902,2015
PEACH,3473,2017
PEACH,3664,2020
PICKENS,4420,2013
PICKENS,5113,2015
PICKENS,4342,2017
PICKENS,5038,2020
PIERCE,3497,2013
PIERCE,2742,2015
PIERCE,2316,2017
PIERCE,3288,2020
PIKE,2579,2013
PIKE,2366,2015
PIKE,2438,2017
PIKE,2852,2020
POLK,7659,2013
POLK,6378,2015
POLK,5411,2017
POLK,8377,2020
PULASKI,2293,2013
PULASKI,1855,2015
PULASKI,1919,2017
PULASKI,1898,2020
PUTNAM,3049,2013
PUTNAM,2821,2015
PUTNAM,3112,2017
PUTNAM,4193,2020
QUITMAN,413,2013
QUITMAN,314,2015
QUITMAN,360,2017
QUITMAN,319,2020
RABUN,2577,2013
RABUN,3053,2015
RABUN,2428,2017
RABUN,2741,2020
RANDOLPH,1281,2013
RANDOLPH,1014,2015
RANDOLPH,853,2017
RANDOLPH,906,2020
RICHMOND,38307,2013
RICHMOND,39702,2015
RICHMOND,41727,2017
RICHMOND,42569,2020
ROCKDALE,15681,2013
ROCKDALE,15419,2015
ROCKDALE,17477,2017
ROCKDALE,13542,2020
SCHLEY,728,2013
SCHLEY,593,2015
SCHLEY,592,2017
SCHLEY,575,2020
SCREVEN,2418,2013
SCREVEN,2036,2015
SCREVEN,2251,2017
SCREVEN,2427,2020
SEMINOLE,1450,2013
SEMINOLE,1386,2015
SEMINOLE,1070,2017
SEMINOLE,1259,2020
SPALDING,10790,2013
SPALDING,9154,2015
SPALDING,10587,2017
SPALDING,14924,2020
STEPHENS,3886,2013
STEPHENS,3653,2015
STEPHENS,3604,2017
STEPHENS,3755,2020
STEWART,924,2013
STEWART,784,2015
STEWART,790,2017
STEWART,875,2020
SUMTER,5240,2013
SUMTER,5387,2015
SUMTER,4199,2017
SUMTER,5490,2020
